Mandela-konsearta	N
Manitoba-ekspedišuvdna	N
Martinsen-rohkki	N
Mathisen-rohkki	N
Mattus-sohka	N
Merkur-prográmma	N
Mexico-katastrofa	N
Microsoft-hoavda	N
Mienna-goahti	N
Mienna-gámme	N
Mihkalmasbasit	N
Mihkalmasbeaivi	N
Mihkalmasvahkku	N
Mihkalmeassu	N
Mihkkel-Issát-rohkki	N
Min% Áigi% -aviisa	N
Min% Áigi% -áviisa	N
Mini-bargi	N
Mjøs-lávdegoddi	N
MoSa-raporta	N
Moddi-riehpu	N
Mohawk-nisson	N
Mohawk-nisu	N
Mohawk-reserváhtta	N
Mohawk-reserváhta	N
Monaco-prinsa	N
Morgenbladet-aviisa	N
Moski-prográmma	N
Moski-servodat	N
Moski-servvodat	N
Muorral-guovlu	N
Murmánska-konferánsa	N
Murmánska-konfereansa	N
Muskogee-čearda	N
Máhtebeaivi	N
Máhtemeasvahkku	N
Máhtemesvahkku	N
Máhtevahkku	N
Máhtte-eanu	N
Máhtte-girji	N
Máhtte-vilba	N
Máhtte-áddjá	N
Mánnevári% bargi	N
Máret-luohti	N
Máret-muoŧŧá	N
Máret-áhkku	N
Márggasvahkku	N
Márjjabeaivi	N
Márjjabeaivvedánssat	N
Márjjameassu	N
Márjjavahkku	N
Márjjábeaidánssat	N
Márjjábeaivi	N
Márjjámeassu	N
Márjjávahkku	N
Máze% gilli	N
Máze-akšuvdna	N
Máze-joavku	N
Máze-lunta	N
Máze-nieida	N
Máze-olmmoš	N
Máze-ášši	N
München-lihkohisvuohta	N
München-lihkuhisvuohta	N
NAF-bláđđi	N
NAF-láđđi	N
NATO-miellahttu	N
NATO-miellahttuvuohta	N
NATO-riika	N
NATO-šiehtadus	N
NAV-bargi	N
NAV-hálddašeaddji	N
NAV-jođiheaddji	N
NAV-nuppástus	N
NAV-ođastus	N
NAV-reforbma	N
NAV-vuogádat	N
NBR-jođiheaddji	N
NBR-nuorra	N
NBR-olmmoš	N
NBR-ovdaolmmoš	N
NBR-ovddasteaddji	N
NGO-searvi	N
NGO-stáhtus	N
NHO-konfereansa	N
NHO-konferánsa	N
NIBR-raporta	N
NINA-dutki	N
NM-finála	N
NM-gilvu	N
NM-golli	N
NM-heargi	N
NM-lágideaddji	N
NM-measttir	N
NM-meašttir	N
NM-meaštár	N
NM-njoarostangilvu	N
NM-silba	N
NM-sprinta	N
NM-vuoiti	N
NM-vuoitu	N
NRK-dokumentára	N
NRK-hoavda	N
NRK-journalista	N
NRK-jođiheaddji	N
NRK-liseansa	N
NRK-plakáhta	N
NRK-plakáhtta	N
NRK-prográmma	N
NRK-ráidu	N
NRK-ráđđi	N
NRK-sámirádio	N
NRK-visti	N
NRKJ-jođiheaddji	N
NSI-bargi	N
NSR-bealušteaddji	N
NSR-dállu	N
NSR-evttohas	N
NSR-eavttohas	N
NSR-fápmu	N
NSR-gullevašvuohta	N
NSR-jahkečoahkkin	N
NSR-joavku	N
NSR-jođiheaddji	N
NSR-lahttu	N
NSR-lista	N
NSR-listu	N
NSR-listá	N
NSR-miellahttu	N
NSR-nieida	N
NSR-nuoraidlávdegoddi	N
NSR-nuorra	N
NSR-olmmoš	N
NSR-ovttasbargu	N
NSR-politihkar	N
NSR-politihkkár	N
NSR-riikačoahkkin	N
NSR-riikkačoahkkin	N
NSR-riikačoahkkinsárdni	N
NSR-riikkačoahkkinsárdni	N
NSR-riikkastivra	N
NSR-ráđđi	N
NSR-stivra	N
NSR-vuolgga	N
NSR-válgalávdegoddi	N
NSR-áirras	N
NSR-ára	N
NUFF-prográmma	N
NVG-sallit	N
Nato-šiehtadus	N
Nemi-muoŧŧá	N
Niillas-rohkki	N
Niitovuopio-rohkki	N
Nikel-fitnodat	N
Nikolai-girku	N
Nikolai-kirku	N
Nilsen-rohkki	N
Nilut-joavku	N
Njávešean-nálli	N
Nobel-bálkkašupmi	N
Nobel-lávdegoddi	N
Nordlys% gánda	N
Nordlys-aviisa	N
Nordlys-bálkkašupmi	N
Nordlys-luohti	N
Nordlys-seminára	N
Nordlys-áviisa	N
Nordnytt-sátta	N
Norga-ovttasbargu	N
Norga-áššealmmái	N
Norga-áššeolmmái	N
Norggaáittardeaddji	N
Norske-gilvu	N
Nunavik-inuihtta	N
Nupen-párka	N
Nuvttevahkku	N
Nuvttot-projeakta	N
Nuvttot-prošeakta	N
Nymo-bealli	N
Nystad-rohkki	N
Náránaš-guovlu	N
Náránaš-ášši	N
Næringsliv-aviisa	N
Næringsliv-áviisa	N
OB-beaivi	N
OD-bargi	N
OD-beaivi	N
OD-lávdegoddi	N
OD-projeakta	N
OD-prošeakta	N
OD-ruhta	N
ODIN-foanda	N
OECD-riika	N
OFFA-joavku	N
OG-doalut	N
OG-gilvu	N
OG-golli	N
OG-gávpot	N
OG-gávpotohcci	N
OG-lágideapmi	N
OG-measttir	N
OG-meašttir	N
OG-meaštár	N
OG-medállja	N
OG-ohcamuš	N
OG-ohcan	N
OG-organisašuvdna	N
OG-plána	N
OG-plánenbargu	N
OG-projeakta	N
OG-prošeakta	N
OG-stivren	N
OG-viessu	N
OG-váikkuhus	N
OL-gilvu	N
OL-organisašuvdna	N
OL-viessu	N
ON-allagohcci	N
ON-deklarašuvdna	N
ON-doarjja	N
ON-dokumeanta	N
ON-forum	N
ON-jolggaštus	N
ON-jolggaštusbargu	N
ON-jolggaštusevttohus	N
ON-julggaštus	N
ON-julggaštusbargu	N
ON-julggaštusevttohus	N
ON-komitea	N
ON-komitéa	N
ON-konvenšuvdna	N
ON-lihttu	N
ON-logijahki	N
ON-lávdegoddi	N
ON-olmmošvuoigatvuohta	N
ON-operašuvdna	N
ON-organisašuvdna	N
ON-orgána	N
ON-ovttastus	N
ON-raporta	N
ON-resolušuvdna	N
ON-riika	N
ON-soahpamuš	N
ON-veahka	N
ON-vuogádat	N
ON-čoahkkin	N
OPUS-prográmma	N
OT-jođiheaddji	N
Ob-eatnu	N
Ofelaš-doaibma	N
Ofelaš-filbma	N
Ofelaš-ortnet	N
